,comment,author,posted_date,num_likes
1,이미 월클이고 이미 레전드임. 그냥 손흥민 경기를 볼 수 있는 날이 지금껏 뛴 시간보다는 적을거라는게 슬프다.. 남은 축구 커리어 동안 제발 행복축구 하길,이른아침,1 month ago,702
2,지금 좀 부진했다해도 과거를 보니 다시한번 대단한 선수임을 느끼게 해준다. 손흥민은 지짜 깔 수가 없는 선수다.,ec,5 days ago,26
3,대한민국에 100년에 한번 나올 레전드 손흥민. 대한민국을 밤새 응원하며 축구로 열광하게 만든 손흥민. 아시아 최초 100호골 달성. 자랑스럽습니다. 다치지말고 오래오래 축구해주세요. 리스펙!!,kyukyu,8 days ago,83
4,2년전까지만 해도 우리나라에서 빅리그 득점왕 나온다고 얘기하면 믿을사람 한명도 없었을텐데 불가능을 현실로 만들어 버리는.. 누가 상상이나 했을까.. 9시즌 두자리골 넣으며 꾸준히 잘해온것만으로도 대단한데 epl 득점왕까지 찍어버리는 아시아 최초의 선수 진정한 월드클래스넘 자랑스럽다,Youl,1 month ago (edited),85
5,득점 장면만 1시간... 한국 선수라는게 자랑스럽고 놀랍다,나는,10 days ago,23
6,"그냥 눈가에 이슬이.. 울컥하는 장면들이.. 오늘 12시 100호 골을 기다렸나 봅니다.. 
우리 인생살이 질곡의 역사처럼.. 손흥민의 100호 골 탄생까지의 오랜 부침과 환희까지..
손흥민 축구에서 재현되고 새희망을 갖게 만듭니다..

사우스햄튼전에서 대한민국 국민에게 큰 기쁨 선사해주길 기원합니다..
손흥민 파이팅!",천둥번개,4 weeks ago,65
7,골모음만 1시간이 넘어가는 손흉민... 가슴이 웅장해진당~~~~~~~~~어떤 아시아 선수들도 못이뤄낸 PL100호골 꼭 이뤄내길~,루보,1 month ago,531
8,"진짜 세계적인 역사적인 선수네요! 골이 하나같이 다 순도가 기가막힙니다! 대한민국에서나, EPL에서나, 토트넘에서나, 세계축구계에서나, 이런 순도 높은 골영상을 1시간을 만들 수 있다니! 오우! 어메이징!",st,1 month ago (edited),80
9,팀원 모두가 기뻐해주는 득점왕 시즌은 정말 가슴이 뜨거웠었지,탑시기,1 month ago,33
10,손흥민과 같은 시대에 살고있다는게 너무 행복하다.,엔에스NS,1 month ago,44
11,편집 해주신 분의 노고에 감사드립니다...대한민국의 보물 손흥민! 10~20대  때는 박지성선수 덕분에 20~30대때는 손흥민 선수 덕분에 해외축구 재밌게 즐기고 있습니다,바른샘물,7 days ago,8
12,케인 알리 에릭센이 진짜 좋은패스 많이줬구나 케인의 영리한 플레이도 많이보이고 손흥민도 잘했지만 좋은동료들이 얼마나 중요한지도 보이네,뚊,4 weeks ago,16
13,"이피엘에 처음 입성했던 순간부터 8년이 지난 지금까지 비판을 받아들이고 단점을 하나하나 고쳐나가던 손흥민 선수였기에 여기까지 올 수 있었던 거겠죠. 누가 뭐래도 손흥민 선수는 이미 우리에게 지난 몇 년간 짜릿한 새벽을 선사해준 소중한 선수입니다! 언제나처럼, 항상 그랬듯이 힘듦을 딛어내고 다시 날아오르길 기대해봅니다 여태까지 너무나 잘해준 손흥민 선수니까요",필름,1 month ago,848
14,"너무 잘하고 한골한골 너무 감동이네요
아프지말고 화이팅 입니다!",박용비,1 month ago,19
15,그렇게 100호골을 넣고 미친 존재가 되어버린 손흥민..,Roscov,5 days ago,4
16,진짜 부족한부분들 보일때도 있고 하지만 손흥민의 슈팅하나만큼은 인정할수밖에 없을정도로 미쳤다,Y,4 weeks ago,16
17,손흥민 감차는 볼 때 마다 감탄만 나옴 ㄷㄷㄷ;;,이정현,1 month ago,13
18,드리블도 잘하고 감아차기도 잘하고 한골한골 정말 시원시원하게 들어간다.,하루종일배고파,6 days ago,11
19,"8:08 왼발 파워슛
10:56 촵촵 슛 골
12:14 크팰전 왼발 감아차기 결승골
14:49 레전드 중거리
18:40 첼시 원더골
20:15 레스터 왼발 감아차기
20:57 이걸?
26:53 새 구장 첫 골
30:09 푸스카스 골
35:08 포트트릭
40:10 아스날 원더골
43:38 오른발 감차
44:46 맨시티 왼발 감아차기
52:28 지리는 퍼스트 터치
56:44 해트트릭
1:00:58 레스터전 왼발 감아차기
1:03:50 프리미어리그 득점왕
1:06:01 교체투입 해트트릭

지리는 양발, 지리는 결정력, 원더골 제조기 우리흥",소소하게,1 month ago (edited),605
20,진짜.. 한국에서 이런 선수 다시 나올런지.... 이 영상 매번 잘 보고 있습니다 다음 경기에서 꼭 골 넣으세요 손흥민선수 화이팅..!,김은영,2 weeks ago,9
21,이 시대를 함께 살고 있다는 것이 참으로 감사하다.,JK,7 days ago,5
22,"손흥민 정말 대한민국의 보석같은 선수입니다
.항상 응원하고 감사합니다",도레미,3 weeks ago,11
23,진짜 어떻게 우리나라에서 이런 선수가 나왔을까 레전드 그 자체,beady,6 days ago,3
24,얼레벌레 넣는 게 아니라 속이 뻥 뚫리게 시원하게 넣어서 좋다. ️손흥민 역시 최고야,sojeong,10 days ago,10
25,진짜 1시간 내내 보면서 자랑스럽기도했고 몇몇 경기 보면서 울컥하기도 했는데 앞으로도 계속 좋은 모습 보여주기를..🥹🥹,민서,1 month ago,217
